Code,DA(sqmi),slope(m/m),PK0_2_width,PK50_width,bkf_width_HAND,CH_V_Q500,OB_V_Q500,CHSSPQ2,OBSSPQ2,Percent Cohesive,Percent Mixed,Percent Noncohesive,Average Depth To Bedrock
7000313,0.498889259,0.922877693,0.369546305,0.385115848,0.544083862,0.354634083,0.33747483,0.871014906,0.850914295,0.5,0,0.5,0.040858018
7000016,0.899628399,0.551246343,0.701183767,0.721383383,0.703534323,0.608199181,0.717634706,0.710964293,0.722694939,0.125,0,0.75,0.160755873
7000141,0.439381761,0.874126095,0.37069584,0.390127851,0.532597959,0.537876779,0.523420561,0.798475854,0.781171528,0.4737,0,0.4737,0.088651685
7001680,0.494907506,0.798936966,0.446849359,0.462968524,0.582449651,0.48181884,0.495213449,0.769351344,0.772297134,0.5,0,0.5,0.040858018
7001031,0.900141872,0.513808319,0.680915397,0.682749783,0.730016151,0.608397418,0.676357062,0.671539976,0.715316344,0.3636,0,0.5455,0.12804903
7000849,0.508456867,0.821874023,0.426042368,0.434993959,0.572784199,0.4811289,0.473882608,0.797746105,0.799153303,0.4286,0,0.5714,0.040858018
7001226,0.39930817,0.837053865,0.385050523,0.394584202,0.561757762,0.333689722,0.308981237,0.751137078,0.722131024,0.6667,0,0.3333,0.040858018
7001475,0.538657619,0.684439178,0.546735624,0.566308199,0.59644203,0.410640441,0.470610881,0.704789683,0.699663135,0,0,1,0.040858018
7000716,0.577146511,0.803843585,0.454382701,0.42633697,0.572750627,0.393852064,0.390554978,0.806188694,0.812711257,0,0,1,0.040858018
7000635,0.455859855,0.924936123,0.367532033,0.369162056,0.49466435,0.51989409,0.520724609,0.872481941,0.852193056,0.875,0,0.125,0.034473953
7001342,0.456499925,0.829943305,0.408693599,0.423656642,0.569104504,0.403826315,0.386491252,0.784003258,0.776352214,1,0,0,0.040858018
7001890,0.44236368,0.877525619,0.395514566,0.393727841,0.558229814,0.418815342,0.391169522,0.811668047,0.793890224,1,0,0,0.040858018
7000412,0.57585952,0.824014013,0.428053059,0.441460954,0.57859191,0.436669045,0.41350058,0.815477021,0.812344224,0,0,1,0.040858018
7001113,0.534833008,0.822140713,0.442636073,0.46438153,0.571045939,0.537283613,0.53430224,0.810376459,0.813756244,0.1667,0,0.6667,0.200715015
7002299,0.396641268,0.864905361,0.338560312,0.344581077,0.482263602,0.364131386,0.374818121,0.815282105,0.803256328,1,0,0,0.040858018
7000072,0.506537422,0.913356409,0.352125076,0.373393153,0.521934128,0.55498434,0.545675003,0.882314534,0.879704336,1,0,0,0.032349336
7002516,0.520280388,0.723927052,0.492388092,0.520001058,0.580761758,0.431341246,0.4754067,0.726991211,0.722956408,0,0,1,0.040858018
7001618,0.620581815,0.761799208,0.513487087,0.528201527,0.598986757,0.474177751,0.472656057,0.802428568,0.819237835,0.5,0,0.25,0.267875383
7001401,0.570539923,0.772208164,0.48306389,0.454334532,0.586198921,0.396573211,0.400941999,0.774956813,0.789626261,0.25,0,0.75,0.040858018
7000394,0.50833004,0.74462094,0.502398317,0.513517898,0.575432626,0.328099255,0.38640266,0.73329518,0.735874705,0.25,0,0.75,0.040858018
7003070,0.536763527,0.759223187,0.566048451,0.542083376,0.597504545,0.339521915,0.359415788,0.751140733,0.747356806,0,0,1,0.040858018
7001634,0.597870204,0.845134137,0.43365992,0.439362691,0.59455396,0.514351146,0.49025451,0.840755636,0.849495009,0.8,0,0.2,0.030643514
7001558,0.547626429,0.782565657,0.483791847,0.472788467,0.579061774,0.351812854,0.362379912,0.781115143,0.776285917,0.5,0,0.5,0.040858018
7000706,0.508583534,0.770567901,0.469257378,0.435736077,0.602272287,0.285457768,0.30778332,0.734931609,0.747629043,0,0,1,0.040858018
7001051,0.583345017,0.631496073,0.545984104,0.556014798,0.600221603,0.503979947,0.569158469,0.687246981,0.690486964,0.2857,0,0.7143,0.040858018
7001175,0.592529375,0.613697548,0.514506756,0.553930976,0.594196243,0.437783221,0.524251128,0.685529299,0.664793753,0.5,0,0.25,0.267875383
7001938,0.541433388,0.703123862,0.551051624,0.564490811,0.61782533,0.374441793,0.449105673,0.703797749,0.688396055,0.5,0,0.5,0.040858018
7000129,0.522508757,0.849077668,0.395007015,0.395423182,0.541089736,0.567870826,0.562089021,0.832614996,0.83690579,0.7059,0,0.2941,0.032778345
7000027,0.52458085,0.826072783,0.412153127,0.422256543,0.587933355,0.437815308,0.420108124,0.797762578,0.803956844,0.5,0,0.5,0.040858018
7002039,0.419657143,0.945425119,0.265922993,0.293342617,0.481567096,0.483360349,0.453900674,0.877509991,0.857225724,0.6667,0,0.3333,0.028089888
7000022,0.706404302,0.577554687,0.593803708,0.622772227,0.635900523,0.654261939,0.744344474,0.695046843,0.69639752,0.1379,0,0.8276,0.073932584
7000436,0.495774135,0.852150034,0.392398462,0.406204669,0.568899278,0.497729434,0.474483451,0.814665527,0.809128732,0.625,0,0.375,0.040858018
7000467,0.41100629,0.840749757,0.325935265,0.341713216,0.50395764,0.467955658,0.448449413,0.768251607,0.749177125,0.9091,0,0.0909,0.031573034
7003110,0.706756526,0.625033123,0.503285241,0.549855309,0.664975441,0.50331921,0.560952233,0.714060324,0.713846401,0,0,0.75,0.280643514
7002474,0.451931288,0.896707672,0.36606546,0.386202084,0.553285016,0.19093116,0.177892285,0.830587521,0.818611152,1,0,0,0.040858018
7002415,0.470751454,0.742301659,0.499227758,0.508120381,0.603832644,0.466887355,0.479953671,0.689741673,0.682046109,0,0,0.75,0.280643514
7000662,0.745026826,0.527474873,0.647904004,0.65015335,0.649913918,0.647150977,0.746985001,0.675552816,0.662253609,0.2333,0,0.7333,0.069254341
7001589,0.425326686,0.89906099,0.341535385,0.335445005,0.543445263,0.352239428,0.281046527,0.799678829,0.751999552,0,0,1,0.040858018
7000174,0.5534595,0.827877239,0.427890674,0.441052408,0.56127251,0.627025445,0.633839055,0.814877419,0.817996782,0.5714,0,0.381,0.084096016
7001061,0.731691015,0.566467009,0.61529367,0.636602396,0.65702788,0.652218608,0.733621874,0.687968372,0.701332044,0.1905,0,0.7619,0.086527068
7002472,0.458604486,0.865740553,0.377241523,0.398965991,0.567983931,0.420432202,0.372824357,0.782617659,0.752457282,0,0,1,0.040858018
7002321,0.43260001,0.772787417,0.373588824,0.405009725,0.563604566,0.386209201,0.383959006,0.70850415,0.691609387,0,0,1,0.040858018
7000226,0.450812169,0.780127919,0.394593589,0.409008007,0.492288887,0.507980919,0.554901971,0.769885714,0.775790494,0.7143,0,0.2143,0.099519918
7000637,0.477183939,0.808251149,0.419421045,0.43533749,0.568226159,0.418350805,0.432446933,0.773671822,0.762515215,0.6667,0,0.3333,0.040858018
7000211,0.414621158,0.790080217,0.440242222,0.441017746,0.556965249,0.347554932,0.345984445,0.71551911,0.688356118,0.5,0,0.5,0.028089888
7001340,0.594699923,0.675395407,0.540584022,0.555601284,0.584388531,0.54363627,0.611520297,0.707260442,0.702001961,0.4167,0,0.5,0.112277835
7001792,0.609172249,0.706871403,0.519057023,0.537701503,0.591007431,0.572532831,0.613474265,0.745629754,0.751844994,0.15,0,0.8,0.086261491
7002957,0.433138263,0.908123358,0.357268286,0.429082609,0.579078459,0.239506517,0.225250237,0.780776585,0.664870935,0,0,1,0.040858018
7000824,0.390676114,0.692408794,0.302174326,0.342489125,0.534525896,0.488536085,0.453494883,0.626316127,0.635183023,0.8235,0,0.1765,0.037854954
7000377,0.364625367,0.783037721,0.15353743,0.186835473,0.008625691,0.180612735,0.459134621,0.931706689,0.8829991,0.7,0,0.3,0.035750766
7001196,0.514721381,0.791810136,0.442344037,0.427925592,0.561219124,0.445266911,0.436432641,0.761926753,0.756785012,0.6667,0,0.3333,0.023830439
7001185,0.50896258,0.810800497,0.447341203,0.458787697,0.57445616,0.490382236,0.484468487,0.783795674,0.777586471,0.375,0,0.625,0.034473953
7000230,0.708326419,0.557423816,0.588091992,0.605354946,0.617219391,0.641253594,0.733875445,0.679064902,0.670732874,0.2667,0,0.7,0.068232891
7002483,0.421180449,0.834114334,0.301921147,0.346547246,0.554860564,0.066082485,0,0.731822897,0.613775115,1,0,0,0.040858018
7002305,0.49874974,0.788373948,0.482377202,0.470382098,0.583129154,0.462542775,0.476390908,0.759299003,0.757645967,0.5,0,0.5,0.040858018
7001380,0.45943411,0.876118618,0.355736045,0.365845633,0.50298358,0.45431311,0.469381993,0.844536454,0.839329796,1,0,0,0.040858018
7002009,0.657335795,0.716640937,0.5294999,0.555507458,0.604328451,0.53818,0.583447004,0.771598818,0.771402921,0.4615,0,0.4615,0.106782431
7001023,0.448535793,0.91785932,0.341652721,0.347297419,0.488754274,0.487100332,0.492004788,0.86092568,0.837147199,0.7143,0,0.2857,0.03721144
7000106,0.952743411,0.371148071,0.747949999,0.743320536,0.749428371,0.772830557,0.859977144,0.593065029,0.64688025,0.1316,0,0.8421,0.066098059
7000105,0.404080516,0.781774012,0.37595254,0.374341226,0.495371664,0.483375666,0.491256252,0.724244202,0.714800469,0.7273,0,0.1818,0.123411645
7000419,0.445497165,0.725962133,0.438695045,0.437807907,0.581777863,0.557441628,0.552351194,0.655326808,0.660683654,0.5,0,0.4231,0.1126762
7000398,0.389023666,0.810504538,0.258341886,0.291300503,0.495182411,0.45100297,0.4263735,0.720586289,0.698085539,0.8125,0,0.125,0.093146067
7000096,0.414621158,0.80430875,0.411009891,0.412306578,0.536487294,0.495458573,0.461609775,0.697798091,0.628773497,0.8095,0,0.0952,0.124668029
7000385,0.474731157,0.613903998,0.490468823,0.483269863,0.584000737,0.530690898,0.542654861,0.575129126,0.575287843,0.4118,0,0.5294,0.094269663
7000177,0.426193315,0.708605014,0.390444733,0.380966124,0.497333764,0.514097465,0.529080003,0.693047732,0.693342626,0.7727,0,0.1818,0.082829418
7000566,0.937899006,0.466717921,0.740132926,0.745899545,0.754458787,0.758421264,0.835739881,0.642836227,0.698272868,0.1333,0,0.8333,0.072829418
7001183,0.954248445,0.539877354,0.691026919,0.659700799,0.744421755,0.776338566,0.776463842,0.733140808,0.754053978,0.4,0,0.5714,0.068263534
7001157,0.951522923,0.444199396,0.737215095,0.737359642,0.736313487,0.697668522,0.784981022,0.654762769,0.680951048,0.2105,0,0.7368,0.0913381
7000787,0.41685555,0.665070923,0.648190149,0.497298193,0.54835943,0.312494576,0.34560002,0.584824138,0.59251252,0.5,0,0.5,0.040858018
7001574,0.46228496,0.78077891,0.407875595,0.430967594,0.578681255,0.412502581,0.392172876,0.691996303,0.650029179,0.5714,0,0.4286,0.177875383
7001441,0.39270414,0.674854151,0.420230189,0.419622458,0.565328889,0.385434697,0.378343152,0.615718761,0.603185442,0.8,0,0.2,0.040858018
7000729,0.386919105,0.792518159,0.2807906,0.281877877,0.412090893,0.439607488,0.48636393,0.778756697,0.77472964,0.6786,0,0.25,0.104994893
7001566,0.376625776,0.675633907,0.505938377,0.470269499,0.573179594,0.290829975,0.304237192,0.584537746,0.539813095,0.3333,0,0.6667,0.040858018
7000842,0.365682049,0.708060926,0.429632202,0.408273172,0.388475082,0.324063371,0.432082438,0.715932194,0.719104636,0.7778,0,0.2222,0.040858018
7002999,0.448535793,0.623957997,0.528036274,0.510994188,0.611488201,0.447342976,0.433747872,0.566983752,0.579595304,0.625,0,0.375,0.040858018
7001221,0.693025099,0.443282064,0.582875535,0.594105837,0.637564246,0.588367409,0.665946674,0.577950035,0.569151844,0.2857,0,0.6667,0.084096016
7002517,0.50730961,0.714207904,0.449922774,0.450718245,0.57183631,0.447637657,0.449210894,0.684868526,0.679615018,1,0,0,0.038304392
7000974,0.425036139,0.787650548,0.396118615,0.411257651,0.569814187,0.514422709,0.467104228,0.695424337,0.660525481,0.6364,0,0.3182,0.079816139
7000802,0.434206186,0.56290845,0.523782077,0.501973899,0.657959563,0.506199433,0.461437226,0.508067841,0.496754714,0.3333,0,0.6667,0.040858018
