gnis_name,reachcode,UVM_ID
Crook Brook,4.30E+12,7002704
Crook Brook,4.30E+12,7003022
Lucas Brook,4.30E+12,7003075
Jay Branch,4.30E+12,7003111
Lucas Brook,4.30E+12,7003126
Ruisseau Dufour,4.30E+12,7004292
Ruisseau Dufour,4.30E+12,7004645
Rivière Missisquoi,4.30E+12,7005108
Rivière Missisquoi,4.30E+12,7005263
Rivière Missisquoi,4.30E+12,7005346
Rivière Missisquoi,4.30E+12,7005384
Rivière Missisquoi,4.30E+12,7005433
Rivière Missisquoi,4.30E+12,7005472
Rivière Missisquoi,4.30E+12,7005495
Rivière Missisquoi,4.30E+12,7005553
Rivière Missisquoi,4.30E+12,7005599
Rivière Missisquoi,4.30E+12,7005708
Rivière Missisquoi Nord,4.30E+12,7005728
Rivière Missisquoi,4.30E+12,7005744
Rivière Missisquoi,4.30E+12,7005766
Rivière Missisquoi,4.30E+12,7005330
Rivière Missisquoi,4.30E+12,7005911
Black Creek,4.30E+12,7001240
The Branch,4.30E+12,7000028
Black Creek,4.30E+12,7001221
Beaver Meadow Brook,4.30E+12,7000824
South Branch Trout River,4.30E+12,7000394
South Branch Trout River,4.30E+12,7000706
South Branch Trout River,4.30E+12,7001475
South Branch Trout River,4.30E+12,7000728
South Branch Trout River,4.30E+12,7001938
Pacific Brook,4.30E+12,7002039
South Branch Trout River,4.30E+12,7002516
South Branch Trout River,4.30E+12,7003070
Lockwood Brook,4.30E+12,7000946
Mineral Spring Brook,4.30E+12,7000658
Mineral Spring Brook,4.30E+12,7001538
Le Clair Brook,4.30E+12,7000165
Truland Brook,4.30E+12,7000382
Missisquoi River,4.30E+12,7000409
Burgess Branch,4.30E+12,7000678
Lockwood Brook,4.30E+12,7000740
Le Clair Brook,4.30E+12,7000902
Ace Brook,4.30E+12,7001074
Lockwood Brook,4.30E+12,7001194
Burgess Branch,4.30E+12,7001316
Burgess Branch,4.30E+12,7001481
Lockwood Brook,4.30E+12,7001648
Burgess Branch,4.30E+12,7001733
Ace Brook,4.30E+12,7001794
East Branch Missisquoi River,4.30E+12,7000620
Lockwood Brook,4.30E+12,7001869
Lockwood Brook,4.30E+12,7001894
East Branch Missisquoi River,4.30E+12,7001907
Burgess Branch,4.30E+12,7002080
Ace Brook,4.30E+12,7002316
Burgess Branch,4.30E+12,7001236
Lockwood Brook,4.30E+12,7002374
Burgess Branch,4.30E+12,7002401
Burgess Branch,4.30E+12,7002760
Le Clair Brook,4.30E+12,7001666
Burgess Branch,4.30E+12,7002830
East Branch Missisquoi River,4.30E+12,7002845
Ruisseau de Cook,4.30E+12,7005439
Rivière Sutton,4.30E+12,7004112
Ruisseau de Cook,4.30E+12,7004382
Rivière Sutton,4.30E+12,7004386
Ruisseau de Cook,4.30E+12,7004468
Rivière Sutton,4.30E+12,7004618
Rivière Sutton,4.30E+12,7004676
Rivière Sutton,4.30E+12,7004731
Rivière Sutton,4.30E+12,7004842
Ruisseau Blanc,4.30E+12,7004971
Ruisseau de Cook,4.30E+12,7004995
Ruisseau de Cook,4.30E+12,7005023
Rivière Sutton,4.30E+12,7005113
Rivière Sutton,4.30E+12,7005178
Rivière Sutton,4.30E+12,7005468
Ruisseau de Cook,4.30E+12,7005542
Rivière Sutton,4.30E+12,7005566
Rivière Sutton,4.30E+12,7005644
Rivière Sutton,4.30E+12,7005654
Rivière Sutton,4.30E+12,7005791
Fairfield River,4.30E+12,7000529
Black Creek,4.30E+12,7000695
Black Creek,4.30E+12,7000993
Fairfield River,4.30E+12,7001333
Fairfield River,4.30E+12,7001731
Fairfield River,4.30E+12,7000979
Dead Creek,4.30E+12,7000959
Dead Creek,4.30E+12,7001927
Dead Creek,4.30E+12,7002508
Dead Creek,4.30E+12,7000246
Dead Creek,4.30E+12,7002683
Black Creek,4.30E+12,7000366
Black Creek,4.30E+12,7000842
Black Creek,4.30E+12,7001441
Black Creek,4.30E+12,7001518
Black Creek,4.30E+12,7002517
Black Creek,4.30E+12,7000926
Missisquoi River,4.30E+12,7000501
Dead Creek,4.30E+12,7000735
Black Creek,4.30E+12,7000762
Missisquoi River,4.30E+12,7000836
Missisquoi River,4.30E+12,7001183
McGowan Brook,4.30E+12,7001756
McGowan Brook,4.30E+12,7000017
Missisquoi River,4.30E+12,7000299
McGowan Brook,4.30E+12,7002397
Missisquoi River,4.30E+12,7002583
Dead Creek,4.30E+12,7000225
Missisquoi River,4.30E+12,7000050
Missisquoi River,4.30E+12,7002119
Missisquoi River,4.30E+12,7003038
Fairfield River,4.30E+12,7000526
Dead Creek,4.30E+12,7000676
Fairfield River,4.30E+12,7001266
Dead Creek,4.30E+12,7001317
Fairfield River,4.30E+12,7001601
Dead Creek,4.30E+12,7001632
Fairfield River,4.30E+12,7001715
Fairfield River,4.30E+12,7002016
Fairfield River,4.30E+12,7002071
Fairfield River,4.30E+12,7002185
Dead Creek,4.30E+12,7002261
Dead Creek,4.30E+12,7002403
Dead Creek,4.30E+12,7002853
Dead Creek,4.30E+12,7002993
Missisquoi River,4.30E+12,7000106
Morrow Brook,4.30E+12,7000398
Missisquoi River,4.30E+12,7001157
Goodsell Brook,4.30E+12,7000096
Missisquoi River,4.30E+12,7000123
Hungerford Brook,4.30E+12,7000815
Dead Creek,4.30E+12,7001190
Dead Creek,4.30E+12,7001857
Dead Creek,4.30E+12,7002448
Dead Creek,4.30E+12,7002494
Missisquoi River,4.30E+12,7000084
Missisquoi River,4.30E+12,7000393
Missisquoi River,4.30E+12,7000544
Missisquoi River,4.30E+12,7001043
Missisquoi River,4.30E+12,7001134
Missisquoi River,4.30E+12,7001396
Missisquoi River,4.30E+12,7001532
Missisquoi River,4.30E+12,7001708
Missisquoi River,4.30E+12,7001763
Missisquoi River,4.30E+12,7000963
Missisquoi River,4.30E+12,7002679
Missisquoi River,4.30E+12,7002921
Missisquoi River,4.30E+12,7003079
Black Creek,4.30E+12,7000589
Black Creek,4.30E+12,7002468
Elm Brook,4.30E+12,7000086
Elm Brook,4.30E+12,7000301
Black Creek,4.30E+12,7000250
Elm Brook,4.30E+12,7001350
Elm Brook,4.30E+12,7001721
Beaver Meadow Brook,4.30E+12,7001096
Black Creek,4.30E+12,7000006
Black Creek,4.30E+12,7000503
Kings Hill Brook,4.30E+12,7000114
Black Creek,4.30E+12,7002429
McGowan Brook,4.30E+12,7000577
McGowan Brook,4.30E+12,7000732
McGowan Brook,4.30E+12,7001700
McGowan Brook,4.30E+12,7001747
McGowan Brook,4.30E+12,7002346
Bogue Branch,4.30E+12,7000110
Bogue Branch,4.30E+12,7000211
Bogue Branch,4.30E+12,7000238
Cooks Brook,4.30E+12,7001023
Ross Brook,4.30E+12,7002127
Bogue Branch,4.30E+12,7002321
Ross Brook,4.30E+12,7000104
Bogue Branch,4.30E+12,7002957
Giddings Brook,4.30E+12,7000177
Kings Hill Brook,4.30E+12,7002912
Beaver Meadow Brook,4.30E+12,7000285
Beaver Meadow Brook,4.30E+12,7000446
Tyler Branch,4.30E+12,7001185
Beaver Meadow Brook,4.30E+12,7001196
Beaver Meadow Brook,4.30E+12,7001299
Beaver Meadow Brook,4.30E+12,7001527
Beaver Meadow Brook,4.30E+12,7001658
Beaver Meadow Brook,4.30E+12,7002370
Beaver Meadow Brook,4.30E+12,7002483
Ruisseau Blanc,4.30E+12,7004316
Ruisseau Blanc,4.30E+12,7004440
Missisquoi River,4.30E+12,7000579
Missisquoi River,4.30E+12,7001819
Missisquoi River,4.30E+12,7002451
Missisquoi River,4.30E+12,7002680
Missisquoi River,4.30E+12,8002659
Dead Creek,4.30E+12,8007418
Missisquoi River,4.30E+12,7003060
The Branch,4.30E+12,7001344
The Branch,4.30E+12,7001423
Dead Creek,4.30E+12,7000283
Fairfield River,4.30E+12,7000291
Fairfield River,4.30E+12,7000657
Dead Creek,4.30E+12,7000957
Fairfield River,4.30E+12,7001801
Fairfield River,4.30E+12,7001892
Fairfield River,4.30E+12,7001910
Fairfield River,4.30E+12,7001984
Dead Creek,4.30E+12,7002645
Burgess Branch,4.30E+12,7000756
Stanhope Brook,4.30E+12,7000185
Lucas Brook,4.30E+12,7000313
Hannah Clark Brook,4.30E+12,7000635
Mountain Brook,4.30E+12,7001370
Lucas Brook,4.30E+12,7001428
Lucas Brook,4.30E+12,7001434
Lucas Brook,4.30E+12,7001540
Lucas Brook,4.30E+12,7001680
Ruisseau Davis,4.30E+12,7003363
Ruisseau de Cook,4.30E+12,7004486
Ruisseau de Cook,4.30E+12,7004854
Ruisseau de Cook,4.30E+12,7004997
Ruisseau Blanc,4.30E+12,7003971
Ruisseau Blanc,4.30E+12,7004746
Ruisseau Blanc,4.30E+12,7005031
Ruisseau Blanc,4.30E+12,7005035
Beetle Brook,4.30E+12,7001751
Beetle Brook,4.30E+12,7001812
Beetle Brook,4.30E+12,7003009
Ruisseau de l'Étang,4.30E+12,7004147
Ruisseau de l'Étang,4.30E+12,7004381
Rivière Missisquoi Nord,4.30E+12,7005170
Ruisseau Halfway,4.30E+12,7004827
Rivière Missisquoi Nord,4.30E+12,7005383
Ruisseau de l'Étang,4.30E+12,7005007
Rivière Missisquoi Nord,4.30E+12,7005222
Rivière Sutton,4.30E+12,7004007
Rivière Sutton,4.30E+12,7004023
Ruisseau Blanc,4.30E+12,7004024
Rivière Sutton,4.30E+12,7004034
Ruisseau Blanc,4.30E+12,7004134
Ruisseau Blanc,4.30E+12,7004181
Rivière Sutton,4.30E+12,7004801
Ruisseau de Cook,4.30E+12,7004363
Rivière Sutton,4.30E+12,7004400
Rivière Sutton,4.30E+12,7004617
Rivière Sutton,4.30E+12,7004661
Rivière Sutton,4.30E+12,7004699
Rivière Sutton,4.30E+12,7004722
Rivière Sutton,4.30E+12,7004745
Rivière Sutton,4.30E+12,7004784
Rivière Sutton,4.30E+12,7004816
Rivière Sutton,4.30E+12,7004935
Rivière Sutton,4.30E+12,7005415
Rivière Sutton,4.30E+12,7005548
Rivière Sutton,4.30E+12,7005742
Missisquoi River,4.30E+12,7000019
Missisquoi River,4.30E+12,7000228
Buybee Brook,4.30E+12,7000186
Jay Branch,4.30E+12,7000458
Jay Branch,4.30E+12,7000489
Missisquoi River,4.30E+12,7001048
Jay Branch,4.30E+12,7001529
Missisquoi River,4.30E+12,7001823
Coburn Brook,4.30E+12,7000397
Mud Creek,4.30E+12,7000148
Missisquoi River,4.30E+12,7000693
Mud Creek,4.30E+12,7000961
Missisquoi River,4.30E+12,7001172
Missisquoi River,4.30E+12,7001300
Missisquoi River,4.30E+12,7001466
Missisquoi River,4.30E+12,7001580
Mud Creek,4.30E+12,7002217
Missisquoi River,4.30E+12,7002309
Missisquoi River,4.30E+12,7002420
Missisquoi River,4.30E+12,7002875
Missisquoi River,4.30E+12,7002898
Missisquoi River,4.30E+12,7002933
Missisquoi River,4.30E+12,7000016
Missisquoi River,4.30E+12,7001031
Black Falls Brook,4.30E+12,7001113
Whittaker Brook,4.30E+12,7001270
Missisquoi River,4.30E+12,7001419
Missisquoi River,4.30E+12,7001657
Missisquoi River,4.30E+12,7002202
Missisquoi River,4.30E+12,7002224
Missisquoi River,4.30E+12,7002419
West Hill Brook,4.30E+12,7000174
Missisquoi River,4.30E+12,7003026
Trout River,4.30E+12,7003110
Beaver Meadow Brook,4.30E+12,7002382
Trout Brook,4.30E+12,7000419
Trout Brook,4.30E+12,7000453
Giddings Brook,4.30E+12,7002257
Mill Brook,4.30E+12,7000029
Snider Brook,4.30E+12,7000422
Missisquoi River,4.30E+12,7000440
Taft Brook,4.30E+12,7000504
Mill Brook,4.30E+12,7000636
Taft Brook,4.30E+12,7000890
Missisquoi River,4.30E+12,7001078
Missisquoi River,4.30E+12,7001275
Missisquoi River,4.30E+12,7001519
Mill Brook,4.30E+12,7001796
Missisquoi River,4.30E+12,7002089
Mill Brook,4.30E+12,7002131
Mill Brook,4.30E+12,7002424
Mill Brook,4.30E+12,7002562
Mill Brook,4.30E+12,7002575
Mill Brook,4.30E+12,7002643
Mill Brook,4.30E+12,7002770
Missisquoi River,4.30E+12,7003017
Wade Brook,4.30E+12,7000129
Jay Brook,4.30E+12,7000436
Jay Brook,4.30E+12,7001120
Jay Brook,4.30E+12,7001342
Jay Brook,4.30E+12,7001790
Jay Brook,4.30E+12,7001890
Jay Brook,4.30E+12,7002474
Snider Brook,4.30E+12,7002834
Cold Hollow Brook,4.30E+12,7000077
Tamarack Brook,4.30E+12,7000251
Tamarack Brook,4.30E+12,7000467
Cold Hollow Brook,4.30E+12,7000493
